BIL,HS,PRODUCT DESCRIPTION,COUNTRY,MONTH,TRADE FLOW,TRADE VALUE
1,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",AUSTRALIA,2022-01-01,IMPORTS,0
2,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRAZIL,2022-01-01,IMPORTS,0
3,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",FRANCE,2022-01-01,IMPORTS,531036
4,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NETHERLANDS,2022-01-01,IMPORTS,0
5,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEW ZEALAND,2022-01-01,IMPORTS,0
6,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SPAIN,2022-01-01,IMPORTS,0
7,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",UNITED STATES,2022-01-01,IMPORTS,0
8,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",AUSTRALIA,2022-02-01,IMPORTS,0
9,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRAZIL,2022-02-01,IMPORTS,592356
10,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",FRANCE,2022-02-01,IMPORTS,0
11,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NETHERLANDS,2022-02-01,IMPORTS,187612
12,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEW ZEALAND,2022-02-01,IMPORTS,1776572
