Period,Trade Flow,Destination,Country_Origin,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
202101,M,Malaysia,World,World,TOTAL CPC,TOTAL MOT,703,"$36,594,764",58596720,,kg,58596720,kg,58596720
202101,M,Malaysia,World,World,TOTAL CPC,Water,703,"$35,006,026",55993200,,kg,55993200,kg,55993200
202101,M,Malaysia,World,World,TOTAL CPC,Road,703,"$1,562,261",2591865,,kg,2591865,kg,2591865
202101,M,Malaysia,World,World,TOTAL CPC,Air,703,"$26,476",11654,,kg,11654,kg,11654
202101,M,Malaysia,Algeria,World,TOTAL CPC,TOTAL MOT,703,"$50,716",250000,,kg,250000,kg,250000
202101,M,Malaysia,Algeria,World,TOTAL CPC,Water,703,"$50,716",250000,,kg,250000,kg,250000
202101,M,Malaysia,Australia,World,TOTAL CPC,Water,703,"$43,269",63200,,kg,63200,kg,63200
202101,M,Malaysia,Australia,World,TOTAL CPC,Air,703,"$16,039",6598,,kg,6598,kg,6598
202101,M,Malaysia,Australia,World,TOTAL CPC,Road,703,"$11,178",11970,,kg,11970,kg,11970
202101,M,Malaysia,Australia,World,TOTAL CPC,TOTAL MOT,703,"$70,486",81768,,kg,81768,kg,81768
202101,M,Malaysia,Bangladesh,World,TOTAL CPC,TOTAL MOT,703,"$14,293",28700,,kg,28700,kg,28700
202101,M,Malaysia,Bangladesh,World,TOTAL CPC,Water,703,"$14,293",28700,,kg,28700,kg,28700
202101,M,Malaysia,Belgium,World,TOTAL CPC,Water,703,"$73,538",145000,,kg,145000,kg,145000
202101,M,Malaysia,Belgium,World,TOTAL CPC,TOTAL MOT,703,"$73,538",145000,,kg,145000,kg,145000
202101,M,Malaysia,Myanmar,World,TOTAL CPC,Water,703,"$388,490",975965,,kg,975965,kg,975965
202101,M,Malaysia,Myanmar,World,TOTAL CPC,TOTAL MOT,703,"$388,490",975965,,kg,975965,kg,975965
202101,M,Malaysia,China,World,TOTAL CPC,Water,703,"$14,633,695",15145707,,kg,15145707,kg,15145707
202101,M,Malaysia,China,World,TOTAL CPC,TOTAL MOT,703,"$14,651,373",15153564,,kg,15153564,kg,15153564
202101,M,Malaysia,China,World,TOTAL CPC,Road,703,"$17,677",7857,,kg,7857,kg,7857
202101,M,Malaysia,Indonesia,World,TOTAL CPC,Water,703,"$1,441",2240,,kg,2240,kg,2240
202101,M,Malaysia,Indonesia,World,TOTAL CPC,TOTAL MOT,703,"$1,441",2240,,kg,2240,kg,2240
202101,M,Malaysia,Iran,World,TOTAL CPC,Water,703,"$43,878",112300,,kg,112300,kg,112300
202101,M,Malaysia,Iran,World,TOTAL CPC,TOTAL MOT,703,"$43,878",112300,,kg,112300,kg,112300
202101,M,Malaysia,Japan,World,TOTAL CPC,TOTAL MOT,703,"$16,294",27300,,kg,27300,kg,27300
202101,M,Malaysia,Japan,World,TOTAL CPC,Water,703,"$11,061",23000,,kg,23000,kg,23000
202101,M,Malaysia,Japan,World,TOTAL CPC,Air,703,"$3,558",2050,,kg,2050,kg,2050
202101,M,Malaysia,Japan,World,TOTAL CPC,Road,703,"$1,674",2250,,kg,2250,kg,2250
202101,M,Malaysia,Rep. of Korea,World,TOTAL CPC,Air,703,"$1,690",1620,,kg,1620,kg,1620
202101,M,Malaysia,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,703,"$1,690",1620,,kg,1620,kg,1620
202101,M,Malaysia,"Other Asia, nes",World,TOTAL CPC,Water,703,"$88,356",96000,,kg,96000,kg,96000
202101,M,Malaysia,"Other Asia, nes",World,TOTAL CPC,TOTAL MOT,703,"$88,356",96000,,kg,96000,kg,96000
202101,M,Malaysia,Netherlands,World,TOTAL CPC,TOTAL MOT,703,"$5,264,229",9314515,,kg,9314515,kg,9314515
202101,M,Malaysia,Netherlands,World,TOTAL CPC,Air,703,$100,25,,kg,25,kg,25
202101,M,Malaysia,Netherlands,World,TOTAL CPC,Road,703,"$10,296",21650,,kg,21650,kg,21650
202101,M,Malaysia,Netherlands,World,TOTAL CPC,Water,703,"$5,253,831",9292840,,kg,9292840,kg,9292840
202101,M,Malaysia,New Zealand,World,TOTAL CPC,Water,703,"$82,012",172000,,kg,172000,kg,172000
202101,M,Malaysia,New Zealand,World,TOTAL CPC,TOTAL MOT,703,"$82,012",172000,,kg,172000,kg,172000
202101,M,Malaysia,Pakistan,World,TOTAL CPC,TOTAL MOT,703,"$10,030,257",22333950,,kg,22333950,kg,22333950
202101,M,Malaysia,Pakistan,World,TOTAL CPC,Water,703,"$10,021,069",22312200,,kg,22312200,kg,22312200
202101,M,Malaysia,Pakistan,World,TOTAL CPC,Road,703,"$9,187",21750,,kg,21750,kg,21750
202101,M,Malaysia,India,World,TOTAL CPC,Road,703,"$9,066",16500,,kg,16500,kg,16500
202101,M,Malaysia,India,World,TOTAL CPC,Water,703,"$3,069,262",5323190,,kg,5323190,kg,5323190
202101,M,Malaysia,India,World,TOTAL CPC,TOTAL MOT,703,"$3,078,329",5339690,,kg,5339690,kg,5339690
202101,M,Malaysia,Singapore,World,TOTAL CPC,TOTAL MOT,703,$91,440,,kg,440,kg,440
202101,M,Malaysia,Singapore,World,TOTAL CPC,Road,703,$91,440,,kg,440,kg,440
202101,M,Malaysia,Viet Nam,World,TOTAL CPC,Water,703,"$12,901",31400,,kg,31400,kg,31400
202101,M,Malaysia,Viet Nam,World,TOTAL CPC,TOTAL MOT,703,"$12,901",31400,,kg,31400,kg,31400
202101,M,Malaysia,Spain,World,TOTAL CPC,TOTAL MOT,703,"$9,106",3200,,kg,3200,kg,3200
202101,M,Malaysia,Spain,World,TOTAL CPC,Road,703,"$9,106",3200,,kg,3200,kg,3200
202101,M,Malaysia,Thailand,World,TOTAL CPC,Road,703,"$1,484,120",2493288,,kg,2493288,kg,2493288
202101,M,Malaysia,Thailand,World,TOTAL CPC,TOTAL MOT,703,"$1,507,002",2521188,,kg,2521188,kg,2521188
202101,M,Malaysia,Thailand,World,TOTAL CPC,Water,703,"$22,881",27900,,kg,27900,kg,27900
202101,M,Malaysia,Turkey,World,TOTAL CPC,TOTAL MOT,703,"$856,523",1312460,,kg,1312460,kg,1312460
202101,M,Malaysia,Turkey,World,TOTAL CPC,Water,703,"$856,523",1312460,,kg,1312460,kg,1312460
202101,M,Malaysia,Ukraine,World,TOTAL CPC,Water,703,"$30,703",79000,,kg,79000,kg,79000
202101,M,Malaysia,Ukraine,World,TOTAL CPC,TOTAL MOT,703,"$30,703",79000,,kg,79000,kg,79000
202101,M,Malaysia,Egypt,World,TOTAL CPC,TOTAL MOT,703,"$308,097",600098,,kg,600098,kg,600098
202101,M,Malaysia,Egypt,World,TOTAL CPC,Water,703,"$308,097",600098,,kg,600098,kg,600098
202101,M,Malaysia,USA,World,TOTAL CPC,TOTAL MOT,703,"$14,949",14321,,kg,14321,kg,14321
202101,M,Malaysia,USA,World,TOTAL CPC,Air,703,"$5,086",1361,,kg,1361,kg,1361
202101,M,Malaysia,USA,World,TOTAL CPC,Road,703,"$9,863",12960,,kg,12960,kg,12960
202102,M,Malaysia,Thailand,World,TOTAL CPC,Road,703,"$1,391,088",2290854,,kg,2290854,kg,2290854
202102,M,Malaysia,India,World,TOTAL CPC,Road,703,"$6,122",10500,,kg,10500,kg,10500
202102,M,Malaysia,Pakistan,World,TOTAL CPC,Road,703,"$2,737",6750,,kg,6750,kg,6750
202102,M,Malaysia,Netherlands,World,TOTAL CPC,Road,703,"$13,061",4900,,kg,4900,kg,4900
202102,M,Malaysia,Japan,World,TOTAL CPC,Road,703,"$1,072",1800,,kg,1800,kg,1800
202102,M,Malaysia,China,World,TOTAL CPC,Road,703,"$23,040",9532,,kg,9532,kg,9532
202102,M,Malaysia,Australia,World,TOTAL CPC,Road,703,"$12,634",13836,,kg,13836,kg,13836
202102,M,Malaysia,World,World,TOTAL CPC,Road,703,"$1,449,758",2338172,,kg,2338172,kg,2338172
