,Country_Origin,count,percent,cumulative_count,cumulative_percent,Latitude,Longitude
0,World,48,7.933884298,48,7.933884298,-25.274398,133.775136
1,Australia,48,7.933884298,96,15.8677686,20.593684,78.96288
2,India,46,7.603305785,142,23.47107438,52.132633,5.291266
3,Netherlands,43,7.107438017,185,30.5785124,35.86166,104.195397
4,China,37,6.115702479,222,36.69421488,36.204824,138.252924
5,Japan,36,5.950413223,258,42.6446281,30.375321,69.345116
6,Pakistan,33,5.454545455,291,48.09917355,15.870032,100.992541
7,Thailand,32,5.289256198,323,53.38842975,21.916221,95.955974
8,Myanmar,32,5.289256198,355,58.67768595,37.09024,-95.712891
9,USA,31,5.123966942,386,63.80165289,-40.900557,174.885971
10,New Zealand,29,4.79338843,415,68.59504132,-0.789275,113.921327
11,Indonesia,27,4.462809917,442,73.05785124,26.820553,30.802498
12,Egypt,24,3.966942149,466,77.02479339,14.058324,108.277199
13,Viet Nam,23,3.801652893,489,80.82644628,35.907757,127.766922
14,Rep. of Korea,18,2.975206612,507,83.80165289,38.963745,35.243322
15,Turkey,14,2.314049587,521,86.11570248,40.463667,-3.74922
16,Spain,14,2.314049587,535,88.42975207,34.047863,100.6196553
17,"Other Asia, nes",14,2.314049587,549,90.74380165,1.352083,103.819836
18,Singapore,13,2.148760331,562,92.89256198,46.227638,2.213749
19,France,8,1.32231405,570,94.21487603,48.379433,31.16558
20,Ukraine,6,0.991735537,576,95.20661157,22.3193039,114.1693611
21,"China, Hong Kong SAR",6,0.991735537,582,96.19834711,55.378051,-3.435973
22,United Kingdom,5,0.826446281,587,97.02479339,32.427908,53.688046
23,Iran,4,0.661157025,591,97.68595041,28.033886,1.659626
24,Algeria,4,0.661157025,595,98.34710744,23.885942,45.079162
25,Saudi Arabia,2,0.330578512,597,98.67768595,56.130366,-106.346771
26,Canada,2,0.330578512,599,99.00826446,50.503887,4.469936
27,Belgium,2,0.330578512,601,99.33884298,23.684994,90.356331
28,Bangladesh,2,0.330578512,603,99.66942149,-38.416097,-63.616672
29,Argentina,2,0.330578512,605,100,,
