Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
MYS,1970-01-01,1970-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1970,1970,7021,Annual value,,3.061220002100,X
MYS,1971-01-01,1971-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1971,1971,7021,Annual value,,3.052260429800,X
MYS,1972-01-01,1972-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1972,1972,7021,Annual value,,2.819555868300,X
MYS,1973-01-01,1973-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1973,1973,7021,Annual value,,2.443329654900,X
MYS,1974-01-01,1974-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1974,1974,7021,Annual value,,2.407066665900,X
MYS,1975-01-01,1975-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1975,1975,7021,Annual value,,2.393783333200,X
MYS,1976-01-01,1976-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1976,1976,7021,Annual value,,2.541574999200,X
MYS,1977-01-01,1977-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1977,1977,7021,Annual value,,2.461283332400,X
MYS,1978-01-01,1978-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1978,1978,7021,Annual value,,2.316041665800,X
MYS,1979-01-01,1979-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1979,1979,7021,Annual value,,2.188441665900,X
MYS,1980-01-01,1980-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1980,1980,7021,Annual value,,2.176883332400,X
MYS,1981-01-01,1981-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1981,1981,7021,Annual value,,2.304124999200,X
MYS,1982-01-01,1982-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1982,1982,7021,Annual value,,2.335391665800,X
MYS,1983-01-01,1983-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1983,1983,7021,Annual value,,2.321249999200,X
MYS,1984-01-01,1984-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1984,1984,7021,Annual value,,2.343641666200,X
MYS,1985-01-01,1985-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1985,1985,7021,Annual value,,2.483041666700,X
MYS,1986-01-01,1986-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1986,1986,7021,Annual value,,2.581441666700,X
MYS,1987-01-01,1987-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1987,1987,7021,Annual value,,2.519638333300,X
MYS,1988-01-01,1988-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1988,1988,7021,Annual value,,2.618783333300,X
MYS,1989-01-01,1989-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1989,1989,7021,Annual value,,2.708841666700,X
MYS,1990-01-01,1990-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1990,1990,7021,Annual value,,2.704875000000,X
MYS,1991-01-01,1991-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1991,1991,7021,Annual value,,2.750066666700,X
MYS,1992-01-01,1992-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYAD,Malaysian Dollar,1992,1992,7021,Annual value,,2.547383333300,X
MYS,1970-01-01,1970-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7021,Annual value,,3.061220002100,X
MYS,1970-01-01,1970-01-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7001,January,,3.061220002100,X
MYS,1970-02-01,1970-02-28,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7002,February,,3.061220002100,X
MYS,1970-03-01,1970-03-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7003,March,,3.061220002100,X
MYS,1970-04-01,1970-04-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7004,April,,3.061220002100,X
MYS,1970-05-01,1970-05-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7005,May,,3.061220002100,X
MYS,1970-06-01,1970-06-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7006,June,,3.061220002100,X
MYS,1970-07-01,1970-07-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7007,July,,3.061220002100,X
MYS,1970-08-01,1970-08-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7008,August,,3.061220002100,X
MYS,1970-09-01,1970-09-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7009,September,,3.061220002100,X
MYS,1970-10-01,1970-10-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7010,October,,3.061220002100,X
MYS,1970-11-01,1970-11-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7011,November,,3.061220002100,X
MYS,1970-12-01,1970-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1970,1970,7012,December,,3.061220002100,X
MYS,1971-01-01,1971-12-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7021,Annual value,,3.052260429800,X
MYS,1971-01-01,1971-01-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7001,January,,3.061220002100,X
MYS,1971-02-01,1971-02-28,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7002,February,,3.061220002100,X
MYS,1971-03-01,1971-03-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7003,March,,3.061220002100,X
MYS,1971-04-01,1971-04-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7004,April,,3.061220002100,X
MYS,1971-05-01,1971-05-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7005,May,,3.061220002100,X
MYS,1971-06-01,1971-06-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7006,June,,3.061220002100,X
MYS,1971-07-01,1971-07-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7007,July,,3.061220002100,X
MYS,1971-08-01,1971-08-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7008,August,,3.061220002100,X
MYS,1971-09-01,1971-09-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7009,September,,3.061220002100,X
MYS,1971-10-01,1971-10-31,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7010,October,,3.061220002100,X
MYS,1971-11-01,1971-11-30,131,'458,Malaysia,LCU,Local currency units per USD,MYR,Malaysian Ringgit,1971,1971,7011,November,,3.061220002100,X
