,hex_resolution,longitude,latitude,mmsi,imo,flag_code,flag_country,destination,eta,vessel_type_code,vessel_type_cargo,vessel_type,eeid,H3_int_index_8,vessel_type_main,dt_insert_utc,vessel_type_sub,polygon_name
0,8,101.3064317,2.80780333,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 17:42,,Malaysia_Port_Polygon
1,8,101.3091883,2.80669833,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 19:57,,Malaysia_Port_Polygon
2,8,101.306525,2.80761167,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 18:06,,Malaysia_Port_Polygon
3,8,101.3069367,2.80647,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 18:42,,Malaysia_Port_Polygon
4,8,101.3068517,2.80697,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 16:30,,Malaysia_Port_Polygon
5,8,101.3091683,2.806615,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 22:36,,Malaysia_Port_Polygon
6,8,101.3086083,2.80617333,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 23:36,,Malaysia_Port_Polygon
7,8,101.3093633,2.80659167,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 21:12,,Malaysia_Port_Polygon
8,8,101.30652,2.80782833,209444000,9507714,209,Cyprus,MYPKG,1011600,70,,Cargo,4.70597E+18,6.14267E+17,,1/1/2022 17:18,,Malaysia_Port_Polygon
9,8,101.2366817,2.81096667,235479000,9241322,235,UK,MYPKG=>AEJBA,1080400,74,"Carrying DG,HS or MP,IMO hazard or Pollutant Category OS",Cargo,5.11557E+18,6.14267E+17,Container Ship,1/1/2022 4:54,,Malaysia_Port_Polygon
10,8,101.2656267,2.90087333,235479000,9241322,235,UK,MYPKG=>AEJBA,1080400,74,"Carrying DG,HS or MP,IMO hazard or Pollutant Category OS",Cargo,5.11557E+18,6.14267E+17,Container Ship,1/1/2022 4:24,,Malaysia_Port_Polygon
11,8,101.2587817,2.87730333,249675000,9391268,249,Malta,MYPKN,12020500,70,,Cargo,5.17446E+18,6.14267E+17,Container Ship,1/1/2022 6:49,,Malaysia_Port_Polygon
12,8,101.2551033,2.80887833,249675000,9391268,249,Malta,MYPKN,12020500,70,,Cargo,5.17446E+18,6.14267E+17,Container Ship,1/1/2022 7:30,,Malaysia_Port_Polygon
13,8,101.2434567,2.82718833,249675000,9391268,249,Malta,MYPKN,12020500,70,,Cargo,5.17446E+18,6.14267E+17,Container Ship,1/1/2022 7:13,,Malaysia_Port_Polygon
14,8,101.26944,2.80445333,249675000,9391268,249,Malta,MYPKN,12020500,70,,Cargo,5.17446E+18,6.14267E+17,Container Ship,1/1/2022 7:37,,Malaysia_Port_Polygon
15,8,101.278995,2.90803,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 20:26,,Malaysia_Port_Polygon
16,8,101.2790017,2.908035,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 19:47,,Malaysia_Port_Polygon
17,8,101.278995,2.90802,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 2:44,,Malaysia_Port_Polygon
18,8,101.2790283,2.90805167,309046000,9321237,309,Azores,MYPKG>SGSIN,1011300,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 23:26,,Malaysia_Port_Polygon
19,8,101.2790017,2.908035,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 2:08,,Malaysia_Port_Polygon
20,8,101.27899,2.90802667,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 17:32,,Malaysia_Port_Polygon
21,8,101.2790317,2.90803833,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 14:47,,Malaysia_Port_Polygon
22,8,101.2789833,2.90803667,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 9:11,,Malaysia_Port_Polygon
23,8,101.2790117,2.90802167,309046000,9321237,309,Azores,LKCMB>MYPKG,12312100,71,"Carrying DG,HS or MP,IMO hazard or Pollutant Category X",Cargo,4.88794E+18,6.14267E+17,Container Ship,1/1/2022 15:50,,Malaysia_Port_Polygon
