index_py,hex_resolution,longitude,mmsi,eta,destination,vessel_type_code,vessel_type_cargo,vessel_type,eeid,H3_int_index_8,imo,latitude,vessel_type_main,dt_insert_utc,vessel_type_sub,polygon_name
0,8,101.2602583,525124810,2460,,30,,Fishing,6.10936E+18,6.14267E+17,,2.906115,,1/10/2022 1:33,,Malaysia_Port_Polygon
1,8,101.1220083,525125808,2460,,30,,Fishing,4.84722E+18,6.14267E+17,,2.89635333,,1/10/2022 1:54,,Malaysia_Port_Polygon
2,8,101.1652133,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87630333,,1/10/2022 1:03,,Malaysia_Port_Polygon
3,8,101.1990617,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.88022667,,1/10/2022 0:21,,Malaysia_Port_Polygon
4,8,101.137585,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.88240667,,1/10/2022 1:33,,Malaysia_Port_Polygon
5,8,101.1241,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.88784333,,1/10/2022 1:44,,Malaysia_Port_Polygon
6,8,101.1821517,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87786833,,1/10/2022 0:42,,Malaysia_Port_Polygon
7,8,101.1746517,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87646167,,1/10/2022 0:52,,Malaysia_Port_Polygon
8,8,101.2280983,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.876855,,1/10/2022 0:00,,Malaysia_Port_Polygon
9,8,101.212275,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87816833,,1/10/2022 0:10,,Malaysia_Port_Polygon
10,8,101.1897983,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87994667,,1/10/2022 0:31,,Malaysia_Port_Polygon
11,8,101.1553317,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87744667,,1/10/2022 1:13,,Malaysia_Port_Polygon
12,8,101.1473067,525301313,2460,,30,,Fishing,6.96137E+18,6.14267E+17,,2.87959167,,1/10/2022 1:23,,Malaysia_Port_Polygon
13,8,101.2195083,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87142667,,1/10/2022 0:08,,Malaysia_Port_Polygon
14,8,101.2199033,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87046667,,1/10/2022 1:59,,Malaysia_Port_Polygon
15,8,101.2201533,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87055333,,1/10/2022 1:19,,Malaysia_Port_Polygon
16,8,101.2202167,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.870615,,1/10/2022 1:09,,Malaysia_Port_Polygon
17,8,101.2200117,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87099667,,1/10/2022 0:28,,Malaysia_Port_Polygon
18,8,101.2198867,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87048667,,1/10/2022 1:49,,Malaysia_Port_Polygon
19,8,101.2202083,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87061167,,1/10/2022 0:48,,Malaysia_Port_Polygon
20,8,101.219385,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87135167,,1/10/2022 0:18,,Malaysia_Port_Polygon
21,8,101.2200483,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87051167,,1/10/2022 1:29,,Malaysia_Port_Polygon
22,8,101.2201117,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87053167,,1/10/2022 0:58,,Malaysia_Port_Polygon
23,8,101.2200917,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.87068167,,1/10/2022 0:38,,Malaysia_Port_Polygon
24,8,101.2199533,533405743,8281000,PATROLLING,90,,Other,9.00754E+18,6.14267E+17,2220000,2.870495,,1/10/2022 1:39,,Malaysia_Port_Polygon
25,8,101.24665,533190366,2460,,30,,Fishing,6.83505E+18,6.14267E+17,,3.01781667,,1/10/2022 1:54,,Malaysia_Port_Polygon
26,8,101.2466233,533190366,2460,,30,,Fishing,6.83505E+18,6.14267E+17,,3.01785667,,1/10/2022 1:44,,Malaysia_Port_Polygon
27,8,101.2466017,533190366,2460,,30,,Fishing,6.83505E+18,6.14267E+17,,3.01784667,,1/10/2022 0:29,,Malaysia_Port_Polygon
28,8,101.2466383,533190366,2460,,30,,Fishing,6.83505E+18,6.14267E+17,,3.01781833,,1/10/2022 0:19,,Malaysia_Port_Polygon
