index,hex_resolution,longitude,mmsi,flag_country,eta,destination,vessel_type_code,vessel_type_cargo,vessel_type,eeid,flag_code,imo,H3_int_index_8,latitude,vessel_type_main,dt_insert_utc,vessel_type_sub,polygon_name
0,8,101.4179917,533067400,Malaysia,8260800,PONTIANAK,52,,Tug,4.92579E+18,533,,6.14267E+17,2.84696667,,1/1/2022 20:30,,Malaysia_Port_Polygon
1,8,101.417075,533846000,Malaysia,2460,,52,,Tug,4.89848E+18,533,,6.14267E+17,2.84763,Tug,1/1/2022 20:24,,Malaysia_Port_Polygon
2,8,101.414155,533846000,Malaysia,2460,,52,,Tug,4.89848E+18,533,,6.14267E+17,2.84216667,Tug,1/1/2022 8:11,,Malaysia_Port_Polygon
3,8,101.11642,533018901,Malaysia,2460,,50,,Pilot,7.64913E+18,533,,6.14267E+17,2.918455,,1/1/2022 5:42,,Malaysia_Port_Polygon
4,8,101.1732033,533067400,Malaysia,8260800,PONTIANAK,52,,Tug,4.92579E+18,533,,6.14267E+17,2.86256,,1/1/2022 23:27,,Malaysia_Port_Polygon
5,8,101.1365867,533067400,Malaysia,8260800,PONTIANAK,52,,Tug,4.92579E+18,533,,6.14267E+17,2.88199833,,1/1/2022 23:48,,Malaysia_Port_Polygon
6,8,101.1553533,533067400,Malaysia,8260800,PONTIANAK,52,,Tug,4.92579E+18,533,,6.14267E+17,2.87254167,,1/1/2022 23:37,,Malaysia_Port_Polygon
7,8,101.2635333,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91524167,,1/1/2022 17:53,,Malaysia_Port_Polygon
8,8,101.2634,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91474833,,1/1/2022 7:31,,Malaysia_Port_Polygon
9,8,101.263505,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91524333,,1/1/2022 16:41,,Malaysia_Port_Polygon
10,8,101.2635117,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.915245,,1/1/2022 17:05,,Malaysia_Port_Polygon
11,8,101.26344,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91473333,,1/1/2022 10:47,,Malaysia_Port_Polygon
12,8,101.2634933,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91521,,1/1/2022 14:26,,Malaysia_Port_Polygon
13,8,101.2635083,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.915245,,1/1/2022 16:52,,Malaysia_Port_Polygon
14,8,101.2633717,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91478667,,1/1/2022 9:34,,Malaysia_Port_Polygon
15,8,101.263395,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.914755,,1/1/2022 20:38,,Malaysia_Port_Polygon
16,8,101.263405,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91473667,,1/1/2022 8:57,,Malaysia_Port_Polygon
17,8,101.2634767,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91523333,,1/1/2022 16:04,,Malaysia_Port_Polygon
18,8,101.26343,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.914775,,1/1/2022 20:14,,Malaysia_Port_Polygon
19,8,101.2634717,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91521333,,1/1/2022 15:51,,Malaysia_Port_Polygon
20,8,101.263445,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91473667,,1/1/2022 10:59,,Malaysia_Port_Polygon
21,8,101.26343,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.914775,,1/1/2022 19:49,,Malaysia_Port_Polygon
22,8,101.2634133,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.914705,,1/1/2022 22:58,,Malaysia_Port_Polygon
23,8,101.2634083,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91471,,1/1/2022 22:31,,Malaysia_Port_Polygon
24,8,101.2634583,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91476667,,1/1/2022 12:00,,Malaysia_Port_Polygon
25,8,101.263555,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.91502667,,1/1/2022 12:36,,Malaysia_Port_Polygon
26,8,101.2633933,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,2.914755,,1/1/2022 21:02,,Malaysia_Port_Polygon
27,8,101.201155,533160041,Malaysia,2460,,52,,Tug,7.31433E+18,533,,6.14267E+17,2.891205,,1/1/2022 22:02,,Malaysia_Port_Polygon
28,8,101.2270533,533160041,Malaysia,2460,,52,,Tug,7.31433E+18,533,,6.14267E+17,2.88793833,,1/1/2022 21:29,,Malaysia_Port_Polygon
29,8,101.1862483,533160041,Malaysia,2460,,52,,Tug,7.31433E+18,533,,6.14267E+17,2.893145,,1/1/2022 22:22,,Malaysia_Port_Polygon
30,8,101.1380983,533170583,Malaysia,2460,,52,,Tug,8.81931E+18,533,,6.14267E+17,2.887305,,1/1/2022 14:17,,Malaysia_Port_Polygon
31,8,101.1364917,533170583,Malaysia,2460,,52,,Tug,8.81931E+18,533,,6.14267E+17,2.90086667,,1/1/2022 13:51,,Malaysia_Port_Polygon
32,8,101.1355617,533170583,Malaysia,2460,,52,,Tug,8.81931E+18,533,,6.14267E+17,2.90992,,1/1/2022 13:35,,Malaysia_Port_Polygon
33,8,101.1286467,533170583,Malaysia,2460,,52,,Tug,8.81931E+18,533,,6.14267E+17,2.99457333,,1/1/2022 11:45,,Malaysia_Port_Polygon
34,8,101.1341,533170583,Malaysia,2460,,52,,Tug,8.81931E+18,533,,6.14267E+17,2.92349,,1/1/2022 13:14,,Malaysia_Port_Polygon
35,8,101.1863383,533192483,Malaysia,2460,,30,,Fishing,8.16023E+18,533,,6.14267E+17,3.02416333,,1/1/2022 18:20,,Malaysia_Port_Polygon
36,8,101.199975,533192483,Malaysia,2460,,30,,Fishing,8.16023E+18,533,,6.14267E+17,3.00177333,,1/1/2022 18:06,,Malaysia_Port_Polygon
37,8,101.187475,533192746,Malaysia,2460,,30,,Fishing,6.12545E+18,533,,6.14267E+17,3.01315833,,1/1/2022 18:09,,Malaysia_Port_Polygon
38,8,101.2396267,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015495,,1/1/2022 20:17,,Malaysia_Port_Polygon
39,8,101.239615,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01550333,,1/1/2022 4:17,,Malaysia_Port_Polygon
40,8,101.239595,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01545,,1/1/2022 5:37,,Malaysia_Port_Polygon
41,8,101.23963,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01549667,,1/1/2022 16:07,,Malaysia_Port_Polygon
42,8,101.239615,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01545333,,1/1/2022 6:02,,Malaysia_Port_Polygon
43,8,101.239625,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01542333,,1/1/2022 22:32,,Malaysia_Port_Polygon
44,8,101.2396283,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01549333,,1/1/2022 14:47,,Malaysia_Port_Polygon
45,8,101.23958,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01545167,,1/1/2022 2:12,,Malaysia_Port_Polygon
46,8,101.2396283,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015455,,1/1/2022 11:27,,Malaysia_Port_Polygon
47,8,101.23964,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01547667,,1/1/2022 3:42,,Malaysia_Port_Polygon
48,8,101.239595,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01544833,,1/1/2022 1:07,,Malaysia_Port_Polygon
49,8,101.2396217,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01547667,,1/1/2022 4:07,,Malaysia_Port_Polygon
50,8,101.2396683,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015505,,1/1/2022 0:27,,Malaysia_Port_Polygon
51,8,101.2396383,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01546167,,1/1/2022 12:07,,Malaysia_Port_Polygon
52,8,101.23963,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01547833,,1/1/2022 15:22,,Malaysia_Port_Polygon
53,8,101.2396133,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015485,,1/1/2022 11:12,,Malaysia_Port_Polygon
54,8,101.2396183,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01546667,,1/1/2022 7:57,,Malaysia_Port_Polygon
55,8,101.2396267,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01543667,,1/1/2022 0:52,,Malaysia_Port_Polygon
56,8,101.2395733,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015465,,1/1/2022 23:02,,Malaysia_Port_Polygon
57,8,101.2396083,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01543833,,1/1/2022 0:37,,Malaysia_Port_Polygon
58,8,101.239655,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01548333,,1/1/2022 4:47,,Malaysia_Port_Polygon
59,8,101.2396067,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015475,,1/1/2022 17:37,,Malaysia_Port_Polygon
60,8,101.2396333,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01546667,,1/1/2022 3:52,,Malaysia_Port_Polygon
61,8,101.2396417,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01544,,1/1/2022 19:52,,Malaysia_Port_Polygon
62,8,101.239645,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01546667,,1/1/2022 1:47,,Malaysia_Port_Polygon
63,8,101.2396367,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01549167,,1/1/2022 9:47,,Malaysia_Port_Polygon
64,8,101.23962,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.015485,,1/1/2022 15:52,,Malaysia_Port_Polygon
65,8,101.2396317,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01551,,1/1/2022 16:17,,Malaysia_Port_Polygon
66,8,101.239635,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01547667,,1/1/2022 14:12,,Malaysia_Port_Polygon
67,8,101.2396333,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01543167,,1/1/2022 12:42,,Malaysia_Port_Polygon
68,8,101.2396383,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01546667,,1/1/2022 8:42,,Malaysia_Port_Polygon
69,8,101.2396167,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01542833,,1/1/2022 22:42,,Malaysia_Port_Polygon
70,8,101.2396317,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01544333,,1/1/2022 23:27,,Malaysia_Port_Polygon
71,8,101.2395967,533192757,Malaysia,2460,,30,,Fishing,7.71072E+18,533,,6.14267E+17,3.01550833,,1/1/2022 9:07,,Malaysia_Port_Polygon
72,8,101.2088317,533192774,Malaysia,2460,,30,,Fishing,6.37765E+18,533,,6.14267E+17,3.00020333,,1/1/2022 20:48,,Malaysia_Port_Polygon
73,8,101.2327983,533192774,Malaysia,2460,,30,,Fishing,6.37765E+18,533,,6.14267E+17,2.95984333,,1/1/2022 9:43,,Malaysia_Port_Polygon
74,8,101.2355867,533192774,Malaysia,2460,,30,,Fishing,6.37765E+18,533,,6.14267E+17,3.01224667,,1/1/2022 21:08,,Malaysia_Port_Polygon
75,8,101.157865,533192774,Malaysia,2460,,30,,Fishing,6.37765E+18,533,,6.14267E+17,2.99960167,,1/1/2022 20:13,,Malaysia_Port_Polygon
76,8,101.1706883,533192775,Malaysia,2460,,30,,Fishing,8.6835E+18,533,,6.14267E+17,3.03071,,1/1/2022 4:41,,Malaysia_Port_Polygon
77,8,101.2373883,533192803,Malaysia,2460,,30,,Fishing,8.17909E+18,533,,6.14267E+17,3.01450667,,1/1/2022 23:43,,Malaysia_Port_Polygon
78,8,101.1164733,563012360,Singapore,1031200,LUMUT    /MLYS,52,,Tug,4.91395E+18,563,9532977,6.14267E+17,2.88328667,Tug,1/1/2022 12:03,,Malaysia_Port_Polygon
79,8,101.3112483,477925800,Hong Kong,1011100,PORT KLANG,70,,Cargo,4.99965E+18,477,9583598,6.14267E+17,3.10780333,Bulk Carrier,1/1/2022 20:50,,Malaysia_Port_Polygon
80,8,101.3113117,477925800,Hong Kong,1011100,PORT KLANG,70,,Cargo,4.99965E+18,477,9583598,6.14267E+17,3.10788,Bulk Carrier,1/1/2022 23:20,,Malaysia_Port_Polygon
81,8,101.3113333,477925800,Hong Kong,1011100,PORT KLANG,70,,Cargo,4.99965E+18,477,9583598,6.14267E+17,3.107905,Bulk Carrier,1/1/2022 22:20,,Malaysia_Port_Polygon
82,8,101.2983383,533110501,Malaysia,2460,,36,,Sailing,7.62863E+18,533,,6.14267E+17,3.10093833,,1/1/2022 2:30,,Malaysia_Port_Polygon
83,8,101.3113167,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.1075,Tug,1/1/2022 20:49,,Malaysia_Port_Polygon
84,8,101.3113433,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.107605,Tug,1/1/2022 20:59,,Malaysia_Port_Polygon
85,8,101.3113233,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.10758833,Tug,1/1/2022 21:09,,Malaysia_Port_Polygon
86,8,101.3106417,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.105645,Tug,1/1/2022 20:23,,Malaysia_Port_Polygon
87,8,101.3139817,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.10083,Tug,1/1/2022 20:11,,Malaysia_Port_Polygon
88,8,101.31,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.10666667,Tug,1/1/2022 20:40,,Malaysia_Port_Polygon
89,8,101.31,533180156,Malaysia,2460,?,90,,Other,5.75489E+18,533,9707883,6.14267E+17,3.10666667,Tug,1/1/2022 20:55,,Malaysia_Port_Polygon
90,8,101.252355,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01819833,,1/1/2022 18:34,,Malaysia_Port_Polygon
91,8,101.2522983,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01811,,1/1/2022 0:34,,Malaysia_Port_Polygon
92,8,101.25234,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01814667,,1/1/2022 3:44,,Malaysia_Port_Polygon
93,8,101.2523383,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.018175,,1/1/2022 16:39,,Malaysia_Port_Polygon
94,8,101.2523033,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01814167,,1/1/2022 1:14,,Malaysia_Port_Polygon
95,8,101.2523367,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01817333,,1/1/2022 19:54,,Malaysia_Port_Polygon
96,8,101.2523367,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01815833,,1/1/2022 2:24,,Malaysia_Port_Polygon
97,8,101.252325,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01814833,,1/1/2022 16:29,,Malaysia_Port_Polygon
98,8,101.25236,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01819833,,1/1/2022 14:34,,Malaysia_Port_Polygon
99,8,101.2523433,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01816167,,1/1/2022 19:29,,Malaysia_Port_Polygon
100,8,101.252365,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01818833,,1/1/2022 15:49,,Malaysia_Port_Polygon
101,8,101.2523583,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01816833,,1/1/2022 16:54,,Malaysia_Port_Polygon
102,8,101.2523467,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01819333,,1/1/2022 12:44,,Malaysia_Port_Polygon
103,8,101.2523467,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.018185,,1/1/2022 22:39,,Malaysia_Port_Polygon
104,8,101.2523517,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01815833,,1/1/2022 0:44,,Malaysia_Port_Polygon
105,8,101.2523367,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01819167,,1/1/2022 6:34,,Malaysia_Port_Polygon
106,8,101.252325,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01816167,,1/1/2022 1:54,,Malaysia_Port_Polygon
107,8,101.2523383,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01818167,,1/1/2022 14:59,,Malaysia_Port_Polygon
108,8,101.252325,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.018205,,1/1/2022 2:14,,Malaysia_Port_Polygon
109,8,101.252325,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01818833,,1/1/2022 19:44,,Malaysia_Port_Polygon
110,8,101.2523383,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01820833,,1/1/2022 15:14,,Malaysia_Port_Polygon
111,8,101.25236,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01817167,,1/1/2022 7:14,,Malaysia_Port_Polygon
112,8,101.25233,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01816,,1/1/2022 8:49,,Malaysia_Port_Polygon
113,8,101.2523517,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01817833,,1/1/2022 18:44,,Malaysia_Port_Polygon
114,8,101.2523583,533190252,Malaysia,2460,,30,,Fishing,5.59206E+18,533,,6.14267E+17,3.01816833,,1/1/2022 8:09,,Malaysia_Port_Polygon
