index,hex_resolution,longitude,mmsi,flag_country,eta,Destination,Ports ,vessel_type_code,vessel_type_cargo,vessel_type,eeid,flag_code,imo,H3_int_index_8,latitude,vessel_type_main,dt_insert_utc,vessel_type_sub,polygon_name
38,8,101.2396267,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015495,,01/01/2022 20:17,,Malaysia_Port_Polygon
39,8,101.239615,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01550333,,01/01/2022 4:17,,Malaysia_Port_Polygon
40,8,101.239595,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01545,,01/01/2022 5:37,,Malaysia_Port_Polygon
41,8,101.23963,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01549667,,01/01/2022 16:07,,Malaysia_Port_Polygon
42,8,101.239615,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01545333,,01/01/2022 6:02,,Malaysia_Port_Polygon
43,8,101.239625,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01542333,,01/01/2022 22:32,,Malaysia_Port_Polygon
44,8,101.2396283,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01549333,,01/01/2022 14:47,,Malaysia_Port_Polygon
45,8,101.23958,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01545167,,01/01/2022 2:12,,Malaysia_Port_Polygon
46,8,101.2396283,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015455,,01/01/2022 11:27,,Malaysia_Port_Polygon
47,8,101.23964,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01547667,,01/01/2022 3:42,,Malaysia_Port_Polygon
48,8,101.239595,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01544833,,01/01/2022 1:07,,Malaysia_Port_Polygon
49,8,101.2396217,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01547667,,01/01/2022 4:07,,Malaysia_Port_Polygon
50,8,101.2396683,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015505,,01/01/2022 0:27,,Malaysia_Port_Polygon
51,8,101.2396383,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01546167,,01/01/2022 12:07,,Malaysia_Port_Polygon
52,8,101.23963,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01547833,,01/01/2022 15:22,,Malaysia_Port_Polygon
53,8,101.2396133,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015485,,01/01/2022 11:12,,Malaysia_Port_Polygon
54,8,101.2396183,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01546667,,01/01/2022 7:57,,Malaysia_Port_Polygon
55,8,101.2396267,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01543667,,01/01/2022 0:52,,Malaysia_Port_Polygon
56,8,101.2395733,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015465,,01/01/2022 23:02,,Malaysia_Port_Polygon
57,8,101.2396083,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01543833,,01/01/2022 0:37,,Malaysia_Port_Polygon
58,8,101.239655,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01548333,,01/01/2022 4:47,,Malaysia_Port_Polygon
59,8,101.2396067,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015475,,01/01/2022 17:37,,Malaysia_Port_Polygon
60,8,101.2396333,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01546667,,01/01/2022 3:52,,Malaysia_Port_Polygon
61,8,101.2396417,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01544,,01/01/2022 19:52,,Malaysia_Port_Polygon
62,8,101.239645,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01546667,,01/01/2022 1:47,,Malaysia_Port_Polygon
63,8,101.2396367,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01549167,,01/01/2022 9:47,,Malaysia_Port_Polygon
64,8,101.23962,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.015485,,01/01/2022 15:52,,Malaysia_Port_Polygon
65,8,101.2396317,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01551,,01/01/2022 16:17,,Malaysia_Port_Polygon
66,8,101.239635,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01547667,,01/01/2022 14:12,,Malaysia_Port_Polygon
67,8,101.2396333,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01543167,,01/01/2022 12:42,,Malaysia_Port_Polygon
68,8,101.2396383,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01546667,,01/01/2022 8:42,,Malaysia_Port_Polygon
69,8,101.2396167,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01542833,,01/01/2022 22:42,,Malaysia_Port_Polygon
70,8,101.2396317,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01544333,,01/01/2022 23:27,,Malaysia_Port_Polygon
71,8,101.2395967,533192757,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,7.71E+18,533,,6.14E+17,3.01550833,,01/01/2022 9:07,,Malaysia_Port_Polygon
72,8,101.2088317,533192774,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,6.38E+18,533,,6.14E+17,3.00020333,,01/01/2022 20:48,,Malaysia_Port_Polygon
73,8,101.2327983,533192774,Malaysia,2460,>MY PKG,Port Kelang,30,,Fishing,6.38E+18,533,,6.14E+17,2.95984333,,01/01/2022 9:43,,Malaysia_Port_Polygon
89,8,101.31,533180156,Malaysia,2460,CN SHK - MY PKG,Port Kelang,90,,Other,5.75E+18,533,9707883,6.14E+17,3.10666667,Tug,01/01/2022 20:55,,Malaysia_Port_Polygon
90,8,101.252355,533190252,Malaysia,2460,CN SHK - MY PKG,Port Kelang,30,,Fishing,5.59E+18,533,,6.14E+17,3.01819833,,01/01/2022 18:34,,Malaysia_Port_Polygon
91,8,101.2522983,533190252,Malaysia,2460,CN SHK - MY PKG,Port Kelang,30,,Fishing,5.59E+18,533,,6.14E+17,3.01811,,01/01/2022 0:34,,Malaysia_Port_Polygon
92,8,101.25234,533190252,Malaysia,2460,CN SHK - MY PKG,Port Kelang,30,,Fishing,5.59E+18,533,,6.14E+17,3.01814667,,01/01/2022 3:44,,Malaysia_Port_Polygon
93,8,101.2523383,533190252,Malaysia,2460,CN SHK - MY PKG,Port Kelang,30,,Fishing,5.59E+18,533,,6.14E+17,3.018175,,01/01/2022 16:39,,Malaysia_Port_Polygon
94,8,101.2523033,533190252,Malaysia,2460,CN SHK - MY PKG,Port Kelang,30,,Fishing,5.59E+18,533,,6.14E+17,3.01814167,,01/01/2022 1:14,,Malaysia_Port_Polygon
