MONTH,BIL,HS,TRADE VALUE
1/1/2021,,,
1/2/2021,,,
1/3/2021,,,
1/4/2021,,,
1/5/2021,157,703,3692816.782
1/6/2021,227,703,3431317.34
1/7/2021,297,703,3497212.996
1/8/2021,367,703,3559359.39
1/9/2021,437,703,3763754.838
1/10/2021,507,703,3956639.402
1/11/2021,577,703,4170454.414
1/12/2021,647,703,4007150.504
1/1/2022,717,703,4159308.964
1/2/2022,787,703,3973399.448
1/3/2022,857,703,3875618.048
1/4/2022,927,703,3839036.962
1/5/2022,997,703,4077354.156
1/6/2022,1067,703,3963616.218
1/7/2022,1137,703,4044748.107
1/8/2022,1207,703,4112304.627
1/9/2022,1277,703,4046619.639
1/10/2022,1347,703,4002775.487
